Date,Open,High,Low,Close,Volume,Adj Close
12/6/2016,160.479996,161.350006,159.270004,159.720001,23600,159.484561
12/5/2016,157.779999,160.75,157.779999,160.020004,28000,159.784122
12/2/2016,159.139999,162.320007,157.210007,157.619995,19400,157.38765
12/1/2016,161.529999,165.899994,157.860001,159.009995,32700,158.775601
11/30/2016,165.809998,166.460007,161.389999,161.779999,39200,161.541522
11/29/2016,166.860001,167.300003,163.300003,165.059998,56300,164.816686
11/28/2016,166.119995,167.440002,165.270004,166.149994,31200,165.905075
11/25/2016,165.020004,166.869995,163.639999,165.860001,13800,165.615509
11/23/2016,165.470001,168.550003,164.050003,164.729996,27400,164.48717
11/22/2016,165.139999,168.940002,164.589996,165.020004,75000,164.776751
11/21/2016,164.839996,165.759995,164.529999,164.899994,23900,164.656918
11/18/2016,164.369995,166.119995,164.25,165.440002,29600,165.19613
11/17/2016,164.639999,165.050003,162.970001,164.970001,27100,164.726822
11/16/2016,164.960007,165.869995,164.210007,165.320007,27500,165.076312
11/15/2016,165.220001,166.330002,162.869995,164.600006,44400,164.357372
11/14/2016,167.5,168.100006,162.690002,164.979996,67600,164.736802
11/11/2016,158.199997,169.580002,158.199997,167.479996,83600,167.233116
11/10/2016,155.839996,160.869995,153.940002,160.490005,69000,160.25343
11/9/2016,128,157.970001,125,157.809998,254100,157.577373
11/8/2016,139.100006,143.529999,139.100006,141.270004,34300,141.061761
11/7/2016,140.559998,141.490005,139.770004,140.369995,57500,140.163078
11/4/2016,141.740005,142.5,140.089996,140.559998,35500,140.352801
11/3/2016,142.009995,142.199997,141,141.380005,34300,141.171599
11/2/2016,140.940002,143.110001,140.139999,142.720001,43900,142.50962
11/1/2016,141.910004,142.919998,140.639999,141.410004,35600,141.201554
10/31/2016,145.089996,145.089996,141.25,141.300003,62500,141.091715
10/28/2016,141.520004,145.419998,141.520004,145.089996,86800,144.876122
10/27/2016,144.839996,145.039993,140.710007,141.559998,103900,141.351326
10/26/2016,145.789993,146.979996,144.080002,144.470001,46800,144.257041
10/25/2016,144.940002,145.910004,144.279999,145.339996,27200,144.876122
10/24/2016,144.550003,144.630005,143.179993,144.559998,25900,144.098613
10/21/2016,143.240005,143.339996,141.740005,143.160004,29300,142.703087
10/20/2016,143.279999,144.789993,142.649994,142.889999,35700,142.433945
10/19/2016,141.889999,144.429993,141.110001,143.979996,43800,143.520462
10/18/2016,142,143.660004,140,142.399994,35600,141.945503
10/17/2016,140.100006,142.240005,140,141.229996,26700,140.779239
10/14/2016,142.199997,142.199997,139.960007,140.350006,31600,139.902058
10/13/2016,142.070007,142.820007,140.889999,141.869995,56300,141.417196
10/12/2016,139.389999,142.789993,137.220001,141.789993,92500,141.337449
10/11/2016,141.759995,142.800003,138.600006,140.300003,59600,139.852215
10/10/2016,141.350006,143.690002,140.740005,141.580002,85900,141.128128
10/7/2016,142.460007,143.300003,140.789993,141.470001,99500,141.018479
10/6/2016,141.529999,143.410004,140.509995,142.5,94200,142.04519
10/5/2016,144.289993,144.639999,140.070007,141.440002,284000,140.988575
10/4/2016,145.600006,146.399994,142.529999,143.490005,59700,143.032036
10/3/2016,147.520004,147.589996,144.330002,145.119995,72700,144.656823
9/30/2016,143.199997,149.259995,142.690002,148.160004,115900,147.687129
9/29/2016,146.649994,147,143.339996,143.410004,40300,142.952289
9/28/2016,147.880005,149.539993,145.039993,146.130005,58800,145.663609
9/27/2016,144,148.369995,144,148.190002,86800,147.717032
9/26/2016,148.179993,148.179993,144.300003,144.5,60200,144.038807
9/23/2016,151.009995,151.009995,148.460007,148.520004,35200,148.04598
9/22/2016,145.910004,151.600006,145.910004,150.529999,92400,150.04956
9/21/2016,146,147.300003,145.110001,145.949997,56900,145.484176
9/20/2016,145.589996,146.699997,144.660004,145.729996,66700,145.264877
9/19/2016,143.5,146,143.5,144.639999,42600,144.178359
9/16/2016,146.520004,146.520004,143.029999,143.850006,74700,143.390887
9/15/2016,146.169998,146.910004,145.630005,146.399994,37700,145.932736
9/14/2016,147.75,148.889999,146.119995,146.179993,30600,145.713437
9/13/2016,149,150.020004,146.470001,147.149994,60000,146.680343
9/12/2016,149.350006,151.229996,148.759995,149.800003,132000,149.321894
9/9/2016,150.880005,151.899994,149.080002,149.210007,101400,148.733781
9/8/2016,153.880005,155.289993,151.380005,151.630005,89000,151.146055
9/7/2016,153.940002,156.860001,152.960007,154.619995,107400,154.126502
9/6/2016,154.589996,154.809998,152.179993,153.720001,40900,153.229381
9/2/2016,152.699997,154.289993,151.869995,153.830002,83300,153.33903
9/1/2016,149.899994,152.649994,149.899994,152.649994,52100,152.162789
8/31/2016,151.089996,151.089996,149.839996,150.300003,52200,149.820298
8/30/2016,150.619995,151.699997,149.550003,150.520004,53300,150.039597
8/29/2016,150.470001,152.740005,150,150.259995,53500,149.780417
8/26/2016,152.240005,153.679993,149.960007,151.339996,64800,150.856972
8/25/2016,151,153.770004,151,152.559998,48400,152.073079
8/24/2016,153.360001,153.970001,151.029999,151.710007,42100,151.225801
8/23/2016,149.720001,154.789993,149.589996,153.020004,76600,152.531618
8/22/2016,150.860001,151.839996,149.300003,150.039993,64400,149.561118
8/19/2016,152.449997,155.509995,150.699997,151.259995,30600,150.777226
8/18/2016,152.309998,154.389999,151.389999,152.759995,72500,152.272438
8/17/2016,152.770004,152.910004,150.009995,151.699997,61700,151.215824
8/16/2016,157.110001,158.220001,153.619995,153.960007,54300,153.46862
8/15/2016,158.130005,161.440002,156.649994,158,68200,157.495719
8/12/2016,151.800003,158.460007,151.800003,156.5,84500,156.000507
8/11/2016,153.110001,154.199997,151.679993,152.25,108500,151.764071
8/10/2016,142.210007,160.800003,141.559998,153.5,206000,153.010082
8/9/2016,141.820007,143.369995,141.070007,141.529999,48000,141.078285
8/8/2016,142.220001,142.449997,140.509995,141.559998,29100,141.108188
8/5/2016,142.940002,144.039993,141.899994,142.350006,43900,141.895675
8/4/2016,143.229996,144,141.300003,142.270004,36000,141.815928
8/3/2016,142.5,143.929993,140.460007,142.419998,56700,141.965443
8/2/2016,145.110001,146.229996,142.070007,142.600006,109000,142.144877
8/1/2016,141.820007,145.229996,140.729996,144.509995,85200,144.048769
7/29/2016,144.350006,145.820007,140.100006,142.410004,205800,141.955481
7/28/2016,141.729996,144.199997,141.320007,143.940002,88500,143.480596
7/27/2016,147,147.580002,140.100006,141.729996,181000,141.277643
7/26/2016,148.669998,149.229996,147.029999,147.619995,57800,146.899643
7/25/2016,150.110001,151.580002,147.380005,148.429993,37200,147.705688
7/22/2016,146.990005,151.279999,146.940002,149.300003,57900,148.571453
7/21/2016,147.869995,148.649994,145.5,147.059998,71100,146.342378
7/20/2016,146.580002,152.259995,145.100006,148.610001,157000,147.884818
7/19/2016,143.860001,147.910004,143.539993,146.369995,92000,145.655743
7/18/2016,144.089996,144.990005,141.529999,144.690002,128500,143.983948
7/15/2016,146.380005,147.270004,142.820007,144.110001,162300,143.406777
7/14/2016,147.419998,148.75,145.160004,146.380005,136600,145.665704
7/13/2016,145.839996,148.289993,144.800003,146.899994,72800,146.183155
7/12/2016,145.929993,148.119995,144.100006,146.449997,96500,145.735354
7/11/2016,144.649994,147.649994,144.619995,145.929993,54100,145.217887
7/8/2016,144.449997,147.119995,144.309998,145.309998,68500,144.600918
7/7/2016,144.470001,145.429993,143.300003,144.289993,41900,143.585891
7/6/2016,145.440002,145.910004,138.809998,144.759995,100600,144.053599
7/5/2016,144.880005,146.830002,142.720001,145.440002,79300,144.730288
